Year;Week;weekseq;datefin;Pop;Den;DenInc;Tw;TwInc;GTD;wiki;Den1;Den2;Den3;Den4;Den5;Den6;Den7;Den8;Tw1;Tw2;Tw3;Tw4;Tw5;Tw6;Tw7;Tw8
2012;33;1;18/08/2012;201032714;3816;1,9;462;0,23;6;6733;;;;;;;;;;;;;;;;
2012;34;2;25/08/2012;201032714;3541;1,76;466;0,23;6;6904;3816;;;;;;;;462;;;;;;;
2012;35;3;01/09/2012;201032714;3137;1,56;436;0,22;6;6927;3541;3816;;;;;;;466;462;;;;;;
2012;36;4;08/09/2012;201032714;2913;1,45;410;0,2;6;5831;3137;3541;3816;;;;;;436;466;462;;;;;
2012;37;5;15/09/2012;201032714;3230;1,61;460;0,23;6;7536;2913;3137;3541;3816;;;;;410;436;466;462;;;;
2012;38;6;22/09/2012;201032714;2884;1,43;418;0,21;6;7148;3230;2913;3137;3541;3816;;;;460;410;436;466;462;;;
2012;39;7;29/09/2012;201032714;2537;1,26;289;0,14;6;6561;2884;3230;2913;3137;3541;3816;;;418;460;410;436;466;462;;
2012;40;8;06/10/2012;201032714;2941;1,46;333;0,17;5;16309;2537;2884;3230;2913;3137;3541;3816;;289;418;460;410;436;466;462;
2012;41;9;13/10/2012;201032714;2466;1,23;392;0,19;4;11586;2941;2537;2884;3230;2913;3137;3541;3816;333;289;418;460;410;436;466;462
2012;42;10;20/10/2012;201032714;2952;1,47;458;0,23;5;9731;2466;2941;2537;2884;3230;2913;3137;3541;392;333;289;418;460;410;436;466
2012;43;11;27/10/2012;201032714;2821;1,4;491;0,24;6;11455;2952;2466;2941;2537;2884;3230;2913;3137;458;392;333;289;418;460;410;436
2012;44;12;03/11/2012;201032714;2758;1,37;418;0,21;6;13023;2821;2952;2466;2941;2537;2884;3230;2913;491;458;392;333;289;418;460;410
2012;45;13;10/11/2012;201032714;2984;1,48;350;0,17;7;12785;2758;2821;2952;2466;2941;2537;2884;3230;418;491;458;392;333;289;418;460
2012;46;14;17/11/2012;201032714;2666;1,33;494;0,25;6;9708;2984;2758;2821;2952;2466;2941;2537;2884;350;418;491;458;392;333;289;418
2012;47;15;24/11/2012;201032714;3570;1,78;393;0,2;7;10512;2666;2984;2758;2821;2952;2466;2941;2537;494;350;418;491;458;392;333;289
2012;48;16;01/12/2012;201032714;3876;1,93;504;0,25;6;8359;3570;2666;2984;2758;2821;2952;2466;2941;393;494;350;418;491;458;392;333
2012;49;17;08/12/2012;201032714;4285;2,13;481;0,24;5;5468;3876;3570;2666;2984;2758;2821;2952;2466;504;393;494;350;418;491;458;392
2012;50;18;15/12/2012;201032714;5073;2,52;527;0,26;4;4222;4285;3876;3570;2666;2984;2758;2821;2952;481;504;393;494;350;418;491;458
2012;51;19;22/12/2012;201032714;5190;2,58;546;0,27;4;2726;5073;4285;3876;3570;2666;2984;2758;2821;527;481;504;393;494;350;418;491
2012;52;20;29/12/2012;201032714;4771;2,37;548;0,27;5;2861;5190;5073;4285;3876;3570;2666;2984;2758;546;527;481;504;393;494;350;418
2013;1;21;05/01/2013;201032714;14482;7,2;728;0,36;6;2874;4771;5190;5073;4285;3876;3570;2666;2984;548;546;527;481;504;393;494;350
2013;2;22;12/01/2013;201032714;21929;10,91;1197;0,6;8;4375;14482;4771;5190;5073;4285;3876;3570;2666;728;548;546;527;481;504;393;494
2013;3;23;19/01/2013;201032714;26506;13,18;1550;0,77;10;4943;21929;14482;4771;5190;5073;4285;3876;3570;1197;728;548;546;527;481;504;393
2013;4;24;26/01/2013;201032714;31303;15,57;1581;0,79;13;6138;26506;21929;14482;4771;5190;5073;4285;3876;1550;1197;728;548;546;527;481;504
2013;5;25;02/02/2013;201032714;35145;17,48;1605;0,8;13;6087;31303;26506;21929;14482;4771;5190;5073;4285;1581;1550;1197;728;548;546;527;481
2013;6;26;09/02/2013;201032714;33902;16,86;1592;0,79;14;7525;35145;31303;26506;21929;14482;4771;5190;5073;1605;1581;1550;1197;728;548;546;527
2013;7;27;16/02/2013;201032714;39731;19,76;1552;0,77;15;7388;33902;35145;31303;26506;21929;14482;4771;5190;1592;1605;1581;1550;1197;728;548;546
2013;8;28;23/02/2013;201032714;54624;27,17;2238;1,11;21;14153;39731;33902;35145;31303;26506;21929;14482;4771;1552;1592;1605;1581;1550;1197;728;548
2013;9;29;02/03/2013;201032714;67256;33,46;3027;1,51;26;23087;54624;39731;33902;35145;31303;26506;21929;14482;2238;1552;1592;1605;1581;1550;1197;728
2013;10;30;09/03/2013;201032714;73809;36,71;3055;1,52;26;22143;67256;54624;39731;33902;35145;31303;26506;21929;3027;2238;1552;1592;1605;1581;1550;1197
2013;11;31;16/03/2013;201032714;86204;42,88;3812;1,9;28;22852;73809;67256;54624;39731;33902;35145;31303;26506;3055;3027;2238;1552;1592;1605;1581;1550
2013;12;32;23/03/2013;201032714;87367;43,46;4891;2,43;31;23922;86204;73809;67256;54624;39731;33902;35145;31303;3812;3055;3027;2238;1552;1592;1605;1581
2013;13;33;30/03/2013;201032714;75980;37,79;4683;2,33;32;17120;87367;86204;73809;67256;54624;39731;33902;35145;4891;3812;3055;3027;2238;1552;1592;1605
2013;14;34;06/04/2013;201032714;88597;44,07;5545;2,76;38;24200;75980;87367;86204;73809;67256;54624;39731;33902;4683;4891;3812;3055;3027;2238;1552;1592
2013;15;35;13/04/2013;201032714;89318;44,43;6984;3,47;49;35250;88597;75980;87367;86204;73809;67256;54624;39731;5545;4683;4891;3812;3055;3027;2238;1552
2013;16;36;20/04/2013;201032714;77982;38,79;4471;2,22;41;30755;89318;88597;75980;87367;86204;73809;67256;54624;6984;5545;4683;4891;3812;3055;3027;2238
2013;17;37;27/04/2013;201032714;55018;27,37;3411;1,7;31;22282;77982;89318;88597;75980;87367;86204;73809;67256;4471;6984;5545;4683;4891;3812;3055;3027
2013;18;38;04/05/2013;201032714;39340;19,57;2680;1,33;24;14990;55018;77982;89318;88597;75980;87367;86204;73809;3411;4471;6984;5545;4683;4891;3812;3055
2013;19;39;11/05/2013;201032714;33104;16,47;2159;1,07;20;14932;39340;55018;77982;89318;88597;75980;87367;86204;2680;3411;4471;6984;5545;4683;4891;3812
2013;20;40;18/05/2013;201032714;28531;14,19;1733;0,86;19;16285;33104;39340;55018;77982;89318;88597;75980;87367;2159;2680;3411;4471;6984;5545;4683;4891
2013;21;41;25/05/2013;201032714;20982;10,44;1417;0,7;17;15613;28531;33104;39340;55018;77982;89318;88597;75980;1733;2159;2680;3411;4471;6984;5545;4683
2013;22;42;01/06/2013;201032714;13780;6,85;959;0,48;13;11176;20982;28531;33104;39340;55018;77982;89318;88597;1417;1733;2159;2680;3411;4471;6984;5545
2013;23;43;08/06/2013;201032714;12463;6,2;1027;0,51;13;11600;13780;20982;28531;33104;39340;55018;77982;89318;959;1417;1733;2159;2680;3411;4471;6984
2013;24;44;15/06/2013;201032714;10958;5,45;905;0,45;12;9485;12463;13780;20982;28531;33104;39340;55018;77982;1027;959;1417;1733;2159;2680;3411;4471
2013;25;45;22/06/2013;201032714;8758;4,36;895;0,45;11;7481;10958;12463;13780;20982;28531;33104;39340;55018;905;1027;959;1417;1733;2159;2680;3411
2013;26;46;29/06/2013;201032714;6601;3,28;651;0,32;9;5253;8758;10958;12463;13780;20982;28531;33104;39340;895;905;1027;959;1417;1733;2159;2680
2013;27;47;06/07/2013;201032714;5931;2,95;570;0,28;7;4329;6601;8758;10958;12463;13780;20982;28531;33104;651;895;905;1027;959;1417;1733;2159
2013;28;48;13/07/2013;201032714;4942;2,46;529;0,26;7;3489;5931;6601;8758;10958;12463;13780;20982;28531;570;651;895;905;1027;959;1417;1733
2013;29;49;20/07/2013;201032714;4512;2,24;471;0,23;6;2715;4942;5931;6601;8758;10958;12463;13780;20982;529;570;651;895;905;1027;959;1417
2013;30;50;27/07/2013;201032714;3378;1,68;380;0,19;5;2154;4512;4942;5931;6601;8758;10958;12463;13780;471;529;570;651;895;905;1027;959
2013;31;51;03/08/2013;201032714;3734;1,86;1217;0,61;5;2982;3378;4512;4942;5931;6601;8758;10958;12463;380;471;529;570;651;895;905;1027
2013;32;52;10/08/2013;201032714;3707;1,84;1159;0,58;5;4027;3734;3378;4512;4942;5931;6601;8758;10958;1217;380;471;529;570;651;895;905
2013;33;53;17/08/2013;201032714;3014;1,5;390;0,19;6;5084;3707;3734;3378;4512;4942;5931;6601;8758;1159;1217;380;471;529;570;651;895
2013;34;54;24/08/2013;201032714;3174;1,58;566;0,28;6;5409;3014;3707;3734;3378;4512;4942;5931;6601;390;1159;1217;380;471;529;570;651
2013;35;55;31/08/2013;201032714;2615;1,3;423;0,21;6;5233;3174;3014;3707;3734;3378;4512;4942;5931;566;390;1159;1217;380;471;529;570
2013;36;56;07/09/2013;201032714;2737;1,36;327;0,16;5;4723;2615;3174;3014;3707;3734;3378;4512;4942;423;566;390;1159;1217;380;471;529
2013;37;57;14/09/2013;201032714;2763;1,37;403;0,2;6;5226;2737;2615;3174;3014;3707;3734;3378;4512;327;423;566;390;1159;1217;380;471
2013;38;58;21/09/2013;201032714;2747;1,37;599;0,3;5;5185;2763;2737;2615;3174;3014;3707;3734;3378;403;327;423;566;390;1159;1217;380
2013;39;59;28/09/2013;201032714;2454;1,22;300;0,15;5;4679;2747;2763;2737;2615;3174;3014;3707;3734;599;403;327;423;566;390;1159;1217
2013;40;60;05/10/2013;201032714;2460;1,22;370;0,18;5;4730;2454;2747;2763;2737;2615;3174;3014;3707;300;599;403;327;423;566;390;1159
2013;41;61;12/10/2013;201032714;2504;1,25;304;0,15;5;4464;2460;2454;2747;2763;2737;2615;3174;3014;370;300;599;403;327;423;566;390
2013;42;62;19/10/2013;201032714;2789;1,39;294;0,15;5;4526;2504;2460;2454;2747;2763;2737;2615;3174;304;370;300;599;403;327;423;566
2013;43;63;26/10/2013;201032714;2917;1,45;342;0,17;6;6868;2789;2504;2460;2454;2747;2763;2737;2615;294;304;370;300;599;403;327;423
2013;44;64;02/11/2013;201032714;2814;1,4;310;0,15;6;6463;2917;2789;2504;2460;2454;2747;2763;2737;342;294;304;370;300;599;403;327
2013;45;65;09/11/2013;201032714;2854;1,42;285;0,14;6;7614;2814;2917;2789;2504;2460;2454;2747;2763;310;342;294;304;370;300;599;403
2013;46;66;16/11/2013;201032714;3076;1,53;377;0,19;7;6848;2854;2814;2917;2789;2504;2460;2454;2747;285;310;342;294;304;370;300;599
2013;47;67;23/11/2013;201032714;3614;1,8;670;0,33;9;7311;3076;2854;2814;2917;2789;2504;2460;2454;377;285;310;342;294;304;370;300
2013;48;68;30/11/2013;201032714;3558;1,77;381;0,19;6;5953;3614;3076;2854;2814;2917;2789;2504;2460;670;377;285;310;342;294;304;370
2013;49;69;07/12/2013;201032714;3878;1,93;383;0,19;6;3934;3558;3614;3076;2854;2814;2917;2789;2504;381;670;377;285;310;342;294;304
2013;50;70;14/12/2013;201032714;3779;1,88;341;0,17;4;2621;3878;3558;3614;3076;2854;2814;2917;2789;383;381;670;377;285;310;342;294
2013;51;71;21/12/2013;201032714;3153;1,57;367;0,18;4;1850;3779;3878;3558;3614;3076;2854;2814;2917;341;383;381;670;377;285;310;342
2013;52;72;28/12/2013;201032714;1668;0,83;339;0,17;4;1163;3153;3779;3878;3558;3614;3076;2854;2814;367;341;383;381;670;377;285;310
2014;1;73;04/01/2014;201032714;4608;2,29;313;0,16;5;1300;1668;3153;3779;3878;3558;3614;3076;2854;339;367;341;383;381;670;377;285
2014;2;74;11/01/2014;201032714;5977;2,97;438;0,22;6;1916;4608;1668;3153;3779;3878;3558;3614;3076;313;339;367;341;383;381;670;377
2014;3;75;18/01/2014;201032714;6554;3,26;416;0,21;5;2312;5977;4608;1668;3153;3779;3878;3558;3614;438;313;339;367;341;383;381;670
2014;4;76;25/01/2014;201032714;7147;3,56;411;0,2;6;2543;6554;5977;4608;1668;3153;3779;3878;3558;416;438;313;339;367;341;383;381
2014;5;77;01/02/2014;201032714;8294;4,13;548;0,27;6;3060;7147;6554;5977;4608;1668;3153;3779;3878;411;416;438;313;339;367;341;383
2014;6;78;08/02/2014;201032714;9198;4,58;441;0,22;7;3811;8294;7147;6554;5977;4608;1668;3153;3779;548;411;416;438;313;339;367;341
2014;7;79;15/02/2014;201032714;11410;5,68;504;0,25;8;5343;9198;8294;7147;6554;5977;4608;1668;3153;441;548;411;416;438;313;339;367
2014;8;80;22/02/2014;201032714;12069;6;444;0,22;9;6361;11410;9198;8294;7147;6554;5977;4608;1668;504;441;548;411;416;438;313;339
2014;9;81;01/03/2014;201032714;11510;5,73;554;0,28;10;6871;12069;11410;9198;8294;7147;6554;5977;4608;444;504;441;548;411;416;438;313
2014;10;82;08/03/2014;201032714;12919;6,43;561;0,28;8;5252;11510;12069;11410;9198;8294;7147;6554;5977;554;444;504;441;548;411;416;438
2014;11;83;15/03/2014;201032714;16466;8,19;513;0,26;12;9980;12919;11510;12069;11410;9198;8294;7147;6554;561;554;444;504;441;548;411;416
2014;12;84;22/03/2014;201032714;19802;9,85;820;0,41;13;10935;16466;12919;11510;12069;11410;9198;8294;7147;513;561;554;444;504;441;548;411
2014;13;85;29/03/2014;201032714;24770;12,32;735;0,37;16;9911;19802;16466;12919;11510;12069;11410;9198;8294;820;513;561;554;444;504;441;548
2014;14;86;05/04/2014;201032714;28192;14,02;748;0,37;17;9296;24770;19802;16466;12919;11510;12069;11410;9198;735;820;513;561;554;444;504;441
2014;15;87;12/04/2014;201032714;34979;17,4;1221;0,61;25;9443;28192;24770;19802;16466;12919;11510;12069;11410;748;735;820;513;561;554;444;504
2014;16;88;19/04/2014;201032714;36609;18,21;1128;0,56;23;7475;34979;28192;24770;19802;16466;12919;11510;12069;1221;748;735;820;513;561;554;444
2014;17;89;26/04/2014;201032714;37859;18,83;1475;0,73;28;8692;36609;34979;28192;24770;19802;16466;12919;11510;1128;1221;748;735;820;513;561;554
2014;18;90;03/05/2014;201032714;33631;16,73;1928;0,96;28;8898;37859;36609;34979;28192;24770;19802;16466;12919;1475;1128;1221;748;735;820;513;561
2014;19;91;10/05/2014;201032714;29083;14,47;1840;0,92;29;10742;33631;37859;36609;34979;28192;24770;19802;16466;1928;1475;1128;1221;748;735;820;513
2014;20;92;17/05/2014;201032714;27293;13,58;1319;0,66;24;10431;29083;33631;37859;36609;34979;28192;24770;19802;1840;1928;1475;1128;1221;748;735;820
2014;21;93;24/05/2014;201032714;21544;10,72;954;0,47;21;10098;27293;29083;33631;37859;36609;34979;28192;24770;1319;1840;1928;1475;1128;1221;748;735
2014;22;94;31/05/2014;201032714;17147;8,53;811;0,4;15;8311;21544;27293;29083;33631;37859;36609;34979;28192;954;1319;1840;1928;1475;1128;1221;748
2014;23;95;07/06/2014;201032714;14050;6,99;659;0,33;13;6714;17147;21544;27293;29083;33631;37859;36609;34979;811;954;1319;1840;1928;1475;1128;1221
2014;24;96;14/06/2014;201032714;11026;5,48;636;0,32;12;4077;14050;17147;21544;27293;29083;33631;37859;36609;659;811;954;1319;1840;1928;1475;1128
2014;25;97;21/06/2014;201032714;9110;4,53;488;0,24;9;2897;11026;14050;17147;21544;27293;29083;33631;37859;636;659;811;954;1319;1840;1928;1475
2014;26;98;28/06/2014;201032714;7842;3,9;587;0,29;9;2378;9110;11026;14050;17147;21544;27293;29083;33631;488;636;659;811;954;1319;1840;1928
2014;27;99;05/07/2014;201032714;7055;3,51;501;0,25;7;2049;7842;9110;11026;14050;17147;21544;27293;29083;587;488;636;659;811;954;1319;1840
2014;28;100;12/07/2014;201032714;6182;3,08;537;0,27;6;1977;7055;7842;9110;11026;14050;17147;21544;27293;501;587;488;636;659;811;954;1319
2014;29;101;19/07/2014;201032714;5481;2,73;280;0,14;6;2661;6182;7055;7842;9110;11026;14050;17147;21544;537;501;587;488;636;659;811;954
2014;30;102;26/07/2014;201032714;4933;2,45;748;0,37;7;2931;5481;6182;7055;7842;9110;11026;14050;17147;280;537;501;587;488;636;659;811
2014;31;103;02/08/2014;201032714;4425;2,2;383;0,19;6;3361;4933;5481;6182;7055;7842;9110;11026;14050;748;280;537;501;587;488;636;659
2014;32;104;09/08/2014;201032714;4017;2;373;0,19;7;3719;4425;4933;5481;6182;7055;7842;9110;11026;383;748;280;537;501;587;488;636
2014;33;105;16/08/2014;201032714;4094;2,04;270;0,13;7;3821;4017;4425;4933;5481;6182;7055;7842;9110;373;383;748;280;537;501;587;488
2014;34;106;23/08/2014;201032714;3931;1,96;368;0,18;7;3744;4094;4017;4425;4933;5481;6182;7055;7842;270;373;383;748;280;537;501;587
2014;35;107;30/08/2014;201032714;3489;1,74;359;0,18;7;3707;3931;4094;4017;4425;4933;5481;6182;7055;368;270;373;383;748;280;537;501
2014;36;108;06/09/2014;201032714;3545;1,76;271;0,13;6;3742;3489;3931;4094;4017;4425;4933;5481;6182;359;368;270;373;383;748;280;537
2014;37;109;13/09/2014;201032714;3576;1,78;316;0,16;6;3538;3545;3489;3931;4094;4017;4425;4933;5481;271;359;368;270;373;383;748;280
